Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop
857;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5020_green_M;;4250781841101;;25.500000;0.000000;0.00;6;1;0;0;;;0;
857;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5020_green_S;;4250781841095;;25.500000;0.000000;0.00;3;1;0;1;;;0;
858;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5020_pink_L;;4250781841149;;25.500000;0.000000;0.00;4;0;0;0;;;0;
858;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5020_pink_M;;4250781841132;;25.500000;0.000000;0.00;4;1;0;0;;;0;
858;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5020_pink_S;;4250781841125;;25.500000;0.000000;0.00;2;1;0;1;;;0;
859;"Größe 32 - 34 - 36 - 38:select:1";38:1;"VIP-5020_light green_L";;4250781841170;;25.500000;0.000000;0.00;4;0;0;0;;;0;
859;"Größe 32 - 34 - 36 - 38:select:1";36:1;"VIP-5020_light green_M";;4250781841163;;25.500000;0.000000;0.00;4;1;0;0;;;0;
859;"Größe 32 - 34 - 36 - 38:select:1";34:1;"VIP-5020_light green_S";;4250781841156;;25.500000;0.000000;0.00;2;1;0;1;;;0;
860;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5021_gold_L;;;;27.500000;0.000000;0.00;5;0;0;0;;;0;
860;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5021_gold_M;;;;27.500000;0.000000;0.00;4;1;0;0;;;0;
860;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5021_gold_S;;;;27.500000;0.000000;0.00;5;1;0;1;;;0;
861;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5021_silver_L;;;;27.500000;0.000000;0.00;5;0;0;0;;;0;
861;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5021_silver_M;;;;27.500000;0.000000;0.00;4;1;0;0;;;0;
861;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5021_silver_S;;;;27.500000;0.000000;0.00;5;1;0;1;;;0;
862;"Größe 32 - 34 - 36 - 38:select:1";42:1;"VIP-5021_black and gold_L";;;;27.500000;0.000000;0.00;5;0;0;0;;;0;
862;"Größe 32 - 34 - 36 - 38:select:1";38:1;"VIP-5021_black and gold_M";;;;27.500000;0.000000;0.00;5;1;0;0;;;0;
862;"Größe 32 - 34 - 36 - 38:select:1";34:1;"VIP-5021_black and gold_S";;;;27.500000;0.000000;0.00;5;1;0;1;;;0;
863;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5021_green_L;;;;27.500000;0.000000;0.00;2;0;0;0;;;0;
863;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5021_green_M;;;;27.500000;0.000000;0.00;4;1;0;0;;;0;
863;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5021_green_S;;;;27.500000;0.000000;0.00;5;1;0;1;;;0;
864;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5021_black_L;;;;27.500000;0.000000;0.00;6;0;0;0;;;0;
