ID;Aktiv;Image;Preis inkl. Steuern;Einkaufspreis;Hersteller-Artikelnummer.;Auf Lager;Name;Lieferant;Standort;Preis inklusive % Reduktion;Reduktion %;Reduktionshöhe;Preis inklusive Reduktion;Rabatt startet;Rabattende;Preis exklusive Steuern;Pos.;Steuerregel
3764;Nein;--;160.65;61.00;0382_Ghost Grey;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;135.00;-;19%
3800;Nein;--;177.31;68.00;0404_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3765;Nein;--;189.21;93.00;0381_Dawn Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3801;Nein;--;165.41;64.00;0403_Dawn Pink;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3766;Nein;--;236.81;160.00;0380_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;199.00;-;19%
3802;Nein;--;189.21;78.00;0384_Dawn Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3767;Nein;--;172.55;68.00;0379_Ghost Grey;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;145.00;-;19%
3662;Nein;--;165.41;66.00;0340_Dawn Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3620;Nein;--;105.91;45.00;0326_Twilight Blue;3;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3601;Nein;--;148.75;55.00;0331_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;125.00;-;19%
